Prompt	Category	Challenge	Note	Decision
a wood cabin	Indoor Scenes	Basic		same
a clock tower	Artifacts	Basic		gen
a chimpanzee	Animals	Basic		same
a hat	Artifacts	Basic		gen
sneakers	Artifacts	Basic		same
a roast turkey	Food & Beverage	Basic		same
a turkey	Animals	Basic		ret
a plate	Artifacts	Basic		same
a ladder	Artifacts	Basic		gen
a Tyrannosaurus Rex	Animals	Basic		gen
a Stegasaurus	Animals	Basic		same
a Triceratops	Animals	Basic		same
a Styracosaurus	Animals	Basic		gen
a Diplodocus	Animals	Basic		gen
a yellow sticky note	Artifacts	Basic		gen
a ball	Artifacts	Basic		ret
red balls	Artifacts	Basic		same
an ostrich	Animals	Basic		same
a stone path	Outdoor Scenes	Basic		same
a wooden deck	Outdoor Scenes	Basic		same
an F1 race car	Vehicles	Basic		same
a taxi	Vehicles	Basic		same
a road	Outdoor Scenes	Basic		same
a volcano	Outdoor Scenes	Basic		same
a large open book	Artifacts	Basic		ret
a living room	Indoor Scenes	Basic		ret
an elephant	Animals	Basic		same
a tree	Produce & Plants	Basic		same
a dolphin	Animals	Basic		same
a rowboat	Vehicles	Basic		gen
a crown	Artifacts	Basic		gen
a pick-up truck	Vehicles	Basic		gen
a key	Artifacts	Basic		ret
a goat	Animals	Basic		same
a chest	Artifacts	Basic		same
a coffee table	Artifacts	Basic		same
toy cars	Artifacts	Basic		ret
a bookshelf	Artifacts	Basic		same
the moon	Outdoor Scenes	Basic		gen
the Earth	Outdoor Scenes	Basic		same
the International Space Station	World Knowledge	Basic		same
the planet Jupiter	Outdoor Scenes	Basic		gen
a tornado	Outdoor Scenes	Basic		same
a tidal wave	Outdoor Scenes	Basic		ret
a laptop screen	Artifacts	Basic		same
an airplane	Vehicles	Basic		same
a butterfly	Animals	Basic		same
a lizard	Animals	Basic		same
a turtle	Animals	Basic		gen
an octopus	Animals	Basic		ret
a book	Artifacts	Basic		same
a moose	Animals	Basic		same
a kachina doll	World Knowledge	Basic		gen
a doorknocker	Artifacts	Basic		gen
a rabbit	Animals	Basic		same
orange juice	Food & Beverage	Basic		same
a green pepper	Food & Beverage	Basic		same
beer	Food & Beverage	Basic		same
Times Square	World Knowledge	Basic		same
the Great Wall	World Knowledge	Basic		same
the Kremlin	World Knowledge	Basic		same
a pickup truck	Vehicles	Basic		same
a shoe	Artifacts	Basic		same
a plant	Produce & Plants	Basic		same
a flower	Produce & Plants	Basic		same
a pair of headphones	Artifacts	Basic		same
a chemtrail	Outdoor Scenes	Basic		ret
a tennis court	Outdoor Scenes	Basic		same
a ceiling fan	Indoor Scenes	Basic		same
a fire hydrant	Artifacts	Basic		gen
a wooden post	Artifacts	Basic		gen
a trash bin	Artifacts	Basic		gen
a piano	Artifacts	Basic		gen
a musical note	Illustrations	Basic		gen
a harp	Artifacts	Basic		gen
a tuba	Artifacts	Basic		gen
The Alamo	World Knowledge	Basic		same
a windmill	Outdoor Scenes	Basic		same
the geyser Old Faithful	World Knowledge	Basic		gen
a motorcycle	Vehicles	Basic		gen
a painting of black and white	Illustrations	Basic		same
the Great Pyramid	World Knowledge	Basic		same
the Parthenon	World Knowledge	Basic		same
the Millennium Wheel	World Knowledge	Basic		same
a marina	Outdoor Scenes	Basic		same
a team	People	Basic		gen
a child	People	Basic		same
a man	People	Basic		gen
a woman	People	Basic		same
a girl	People	Basic		same
a person	People	Basic		gen
a boy	People	Basic		same
a boy and a tiger	People	Basic		same
a family	People	Basic		same
a father and a son	People	Basic		same
a portrait of an old man	People	Basic		same
a portrait of young girl	People	Basic		same
a scientist	People	Basic		same
A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands next to a tall stack of books in a library.	Animals	Complex		gen
A solitary figure shrouded in mists peers up from the cobble stone street at the imposing and dark gothic buildings surrounding it. an old-fashioned lamp shines nearby. oil painting.	Arts	Complex		ret
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump and holding a beer on dark stage.	Animals	Complex		same
Horses pulling a carriage on the moon's surface, with the Statue of Liberty and Great Pyramid in the background. The Planet Earth can be seen in the sky.	World Knowledge	Complex		same
A robot painted as graffiti on a brick wall. The words "Fly an airplane" are written on the wall. A sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.	Outdoor Scenes	Complex		ret
A warrior wombat holding a sword and shield in a fighting stance. The wombat stands in front of the Arc de Triomphe on a day shrouded mist with the sun high in the sky.	World Knowledge	Complex		gen
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like dogs. All of the dogs are wearing blue turtlenecks.	Illustrations	Complex		same
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like macaroons. All of the macaroons are wearing cowboy hats.	Illustrations	Complex		gen
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.	Illustrations	Complex		same
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pandas. All of the pandas are wearing colorful sunglasses.	Illustrations	Complex		same
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pigs. All of the pigs are wearing crowns.	Illustrations	Complex		same
A richly textured oil painting of a young badger delicately sniffing a yellow rose next to a tree trunk. A small waterfall can be seen in the background.	Arts	Complex		gen
A portrait of a metal statue of a pharaoh wearing steampunk glasses and a leather jacket over a white t-shirt that has a drawing of a space shuttle on it.	World Knowledge	Complex		gen
A photograph of the inside of a subway train. There are frogs sitting on the seats. One of them is reading a newspaper. The window shows the river in the background.	Vehicles	Complex		ret
A photograph of the inside of a subway train. There are lobsters sitting on the seats. One of them is reading a newspaper. The window shows the ocean in the background.	Vehicles	Complex		same
A photograph of the inside of a subway train. There are raccoons sitting on the seats. One of them is reading a newspaper. The window shows the city in the background.	Vehicles	Complex		same
A photograph of the inside of a subway train. There are red pandas sitting on the seats. One of them is reading a newspaper. The window shows the jungle in the background.	Vehicles	Complex		same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of abstract cubism.	Arts	Complex		gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Egyptian tomp hieroglyphics.	Arts	Complex		same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Hokusai.	Arts	Complex		same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Madhubani art.	Arts	Complex		same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pixel art.	Arts	Complex		gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pointilism.	Arts	Complex		same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Rembrandt.	Arts	Complex		gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of traditional Chinese painting.	Arts	Complex		gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.	Arts	Complex		gen
A raccoon wearing formal clothes, wearing a top hat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.	Arts	Complex		gen
a statue of Abraham Lincoln wearing an opaque and shiny astronaut's helmet. The statue sits on the moon, with the planet Earth in the sky.	World Knowledge	Complex		same
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.	World Knowledge	Complex		gen
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. A shiny VW van with a cityscape painted on it and parked on grass.	World Knowledge	Complex		gen
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. The sloth stands a few feet in front of a shiny VW van. The van has a cityscape painted on it and parked on grass.	World Knowledge	Complex		same
A DSLR photo of a shiny VW van that has a cityscape painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.	World Knowledge	Complex		same
a poodle wearing a baseball cap holding a dictionary in hand and writing bonez on a chalkboard	Animals	Complex		gen
a portrait of a statue of anubis with a crown and wearing a yellow t-shirt that has a space shuttle drawn on it	World Knowledge	Complex		gen
an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape. a table on the left, with a golden watch swarmed by ants. a strange fleshy creature in the center of the painting	Arts	Complex	Description of The Persistence of Memory	gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. A full moon over the city of Los Angeles is in the background at night.	World Knowledge	Complex		gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.	World Knowledge	Complex		gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket, flying over the city of Mars. 	World Knowledge	Complex		gen
A photo of the Space Shuttle Endeavor painted yellow and flying over the Earth. The continent of South America is visible.	World Knowledge	Complex		gen
A close-up photo of a wombat wearing a red backpack and raising both arms in the air. Mount Rushmore is in the background.	World Knowledge	Complex		gen
A penguin wearing aviator goggles and flying confidently next to a bemused eagle. 	Animals	Complex		same
A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.	Animals	Complex		gen
A wall in a royal castle. There are two paintings on the wall. The one on the left a detailed oil painting of the royal raccoon king. The one on the right a detailed oil painting of the royal raccoon queen. A cute dog looking at the two paintings, holding a sign saying 'plz conserve'	Indoor Scenes	Complex		same
A single beam of light enter the room from the ceiling. The beam of light is illuminating an easel. On the easel there is a Rembrandt painting of a raccoon	Indoor Scenes	Complex		same
The Millennium Wheel next to the Statue of Liberty. The Sagrada Familia church is also visible.	World Knowledge	Complex		gen
A train ride in the monsoon rain in Kerala. With a Koala bear wearing a hat looking out of the window. There is a lot of coconut trees out of the window.	World Knowledge	Complex		same
A photograph of a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket.	World Knowledge	Complex		gen
An oil painting of two rabbits in the style of American Gothic, wearing the same clothes as in the original.	Arts	Complex		same
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting	Animals	Complex		gen
A wombat sits in a yellow beach chair, while sipping a martini that is on his laptop keyboard. The wombat is wearing a white panama hat and a floral Hawaiian shirt. Out-of-focus palm trees in the background.	Animals	Complex		gen
A high-contrast photo of a panda riding a horse. The panda is wearing a wizard hat and is reading a book. The horse is standing on a street against a gray concrete wall. Colorful flowers and the word "PEACE" are painted on the wall. Green grass grows from cracks in the street.	Animals	Complex		same
The buildings of downtown Manhattan situated at below Mount Everest. The Great Pyramid is in the foreground.	World Knowledge	Complex		gen
Anime illustration of the Great Pyramid sitting next to the Parthenon under a blue night sky of roiling energy, exploding yellow stars, and chromatic blue swirls	World Knowledge	Complex		gen
An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu	World Knowledge	Complex		same
A close-up high-contrast photo of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blue	World Knowledge	Complex		ret
the Sydney Opera House with the Eiffel tower sitting on the right, and Mount Everest rising above	World Knowledge	Complex		same
Greek statue of a man comforting a cat. The cat has a big head. The man looks angry.	People	Complex		ret
a robot painted as graffiti on a brick wall. a sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.	Outdoor Scenes	Complex		ret
a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket. dslr photograph.	People	Complex		gen
a real flamingo reading a large open book. a big stack of books is piled up next to it. dslr photograph.	Animals	Complex		gen
A photo of a hamburger fighting a hot dog in a boxing ring. The hot dog is tired and up against the ropes.	Food & Beverage	Complex		gen
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting.	Animals	Complex		gen
A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table	Indoor Scenes	Complex		same
Photograph of a wall along a city street with a watercolor mural of foxes in a jazz band.	Outdoor Scenes	Complex		same
A high resolution photo of a donkey in a clown costume giving a lecture at the front of a lecture hall. The blackboard has mathematical equations on it. There are many students in the lecture hall.	Indoor Scenes	Complex		gen
A black dog sitting on a wooden chair. A white cat with black ears is standing up with its paws on the chair.	Animals	Complex		same
a Saint Bernard standing up with its paws in the air. A young girl is seated on the dog's shoulders.	People	Complex		same
a photograph of a squirrel holding an arrow above its head and holding a longbow in its left hand	Animals	Complex		gen
An empty fireplace with a television above it. The TV shows a lion hugging a giraffe.	Indoor Scenes	Complex		same
an invisible man wearing horn-rimmed glasses and a pearl bead necklase while looking at his phone	People	Complex		ret
a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 	Vehicles	Complex		same
a white rabbit in blue jogging clothes doubled over in pain while a turtle wearing a red tank top dashes confidently through the finish line	Animals	Complex		same
a hot air balloon with a yin-yang symbol, with the moon visible in the daytime sky	Vehicles	Complex		same
a photograph of a fiddle next to a basketball on a ping pong table	Artifacts	Complex		same
a racoon detective using a microscope while riding in a train	Animals	Complex		same
a photograph of an ostrich wearing a fedora and singing soulfully into a microphone	Animals	Complex		same
a cream-colored labradoodle wearing glasses and black beret teaching calculus at a blackboard	Animals	Complex		same
a basketball to the left of two soccer balls on a gravel driveway	Artifacts	Complex		gen
a cat patting a crystal ball with the number 7 written on it in black marker	Animals	Complex		same
a cat licking a large felt ball with a drawing of the Eiffel Tower on it	World Knowledge	Complex		gen
a giraffe wearing a white bathing suit and carefully stepping to the edge of a diving board and preparing to dive	Animals	Complex		same
a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs	Artifacts	Complex		ret
a mixed media image with a photograph of a woman with long orange hair over a background that is a sketch of a city skyline	People	Complex		gen
a black and orange yin-yang symbol with tiger's heads instead of circles	Illustrations	Complex		gen
a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave	Arts	Complex		ret
Renaissance portrayals of the Virgin Mary, seated in a loggia. Behind her is a hazy and seemingly isolated landscape imagined by the artist and painted using sfumato.	People	Complex	Description of Mona Lisa	gen
Oil-on-canvas painting of a blue night sky with roiling energy. A fuzzy and bright yellow crescent moon shining at the top. Below the exploding yellow stars and radiating swirls of blue, a distant village sits quietly on the right. Connecting earth and sky is a flame-like cypress tree with curling and swaying branches on the left. A church spire rises as a beacon over rolling blue hills	Arts	Complex	Description of The Starry Night	same
Painting of a panic-stricken creature, simultaneously corpselike and reminiscent of a sperm or fetus, whose contours are echoed in the swirling lines of the blood-red sky	Arts	Complex	Description of The Scream	same
a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese	Artifacts	Complex	DALL-E 2	same
a white bird in front of a dinosaur standing by some trees	Outdoor Scenes	Complex		same
Snow mountain and tree reflection in the lake	Outdoor Scenes	Complex	VQ-Diffusion	gen
a white robot, a red robot and a black robot standing together	Artifacts	Complex		ret
a tree reflected in the hood of a blue car	Produce & Plants	Complex		same
a tree reflected in the sunroof of a blue car	Produce & Plants	Complex		gen
a monarch butterfly hatching from its chrysalis	Animals	Complex		ret
a glass of orange juice to the right of a plate with buttered toast on it	Food & Beverage	Complex		ret
a bottle of beer next to an ashtray with a half-smoked cigarrette	Food & Beverage	Complex		same
a pineapple with one beer to its left and two beers on its right	Food & Beverage	Complex		same
a pickup truck with a horse on its left and two dogs on its right	Vehicles	Complex		gen
a brown trash bin with a green compost bin on its left and a blue recycling bin on its right	Artifacts	Complex		same
a woman with long hair next to a luminescent bird	People	Complex		ret
a tall man stooping down to enter a low red sports car	People	Complex		same
a black dog jumping up to hug a woman wearing a red sweater	People	Complex		gen
a man and a woman standing in the back up an old pickup truck	People	Complex		gen
a boy sitting on the shoulders of a woman who is wearing an elegant dress	People	Complex		ret
a girl with curly black hair jumping off a boulder	People	Complex		gen
a grandmother reading a book to her grandson and granddaughter	People	Complex		ret
a young woman with glasses reading a thick book at a mahogany desk	People	Complex		ret
a man in a business suit on a ladder that is leaning up against the side of a white house	People	Complex		gen
a man pouring milk into a coffee cup to make a latte with a beatiful design	People	Complex		gen
a woman using a sledgehammer to smash an ice sculpture of a goose	People	Complex		same
a painting of the mona lisa on a white wall	World Knowledge	Complex		same
a man eating a glazed donut and a woman eating a chocolate cake	People	Complex		same
A teddy bear wearing a motorcycle helmet and cape is standing in front of Loch Awe with Kilchurn Castle behind him	World Knowledge	Fine-grained Detail		same
A teddy bear wearing a motorcycle helmet and cape is driving a speed boat near the Golden Gate Bridge	World Knowledge	Fine-grained Detail		gen
A teddy bear wearing a motorcycle helmet and cape is car surfing on a taxi cab in New York City	World Knowledge	Fine-grained Detail		gen
A teddy bear wearing a motorcycle helmet and cape is riding a motorcycle in Rio de Janeiro with Dois Irmãos in the background	World Knowledge	Fine-grained Detail		ret
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump	Animals	Fine-grained Detail		gen
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a lily pad	Animals	Fine-grained Detail		ret
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a boulder	Animals	Fine-grained Detail		gen
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a stump	Animals	Fine-grained Detail		same
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a lily pad	Animals	Fine-grained Detail		gen
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a boulder	Animals	Fine-grained Detail		gen
A punk rock platstumppus in a studded leather jacket shouting into a microphone while standing on a stump	Animals	Fine-grained Detail		same
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a lily pad	Animals	Fine-grained Detail		gen
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a boulder	Animals	Fine-grained Detail		gen
A map of the United States made out sushi. It is on a table next to a glass of red wine.	World Knowledge	Fine-grained Detail		same
A blue Porsche 356 parked in front of a yellow brick wall	World Knowledge	Fine-grained Detail		same
A helicopter flies over the Arches National Park.	World Knowledge	Fine-grained Detail		gen
A helicopter flies over the Grand Canyon.	World Knowledge	Fine-grained Detail		ret
A helicopter flies over Yosemite.	World Knowledge	Fine-grained Detail		same
A sunken ship becomes the homeland of fish.	Vehicles	Fine-grained Detail		same
 A sloth in a go kart on a race track. The sloth is holding a banana in one hand. There is a banana peel on the track in the background.	Animals	Fine-grained Detail		gen
a photograph of a bird wearing headphones and speaking into a microphone in a recording studio	Animals	Fine-grained Detail		ret
A teddybear on a skateboard in Times Square, doing tricks on a cardboard box ramp.	World Knowledge	Fine-grained Detail		gen
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book. A shiny VW van parked on grass.	World Knowledge	Fine-grained Detail		ret
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book.	Animals	Fine-grained Detail		same
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.	Animals	Fine-grained Detail		same
A smiling sloth wearing a leather jacket, a cowboy hat and a kilt.	Animals	Fine-grained Detail		gen
A shiny VW van with a cityscape painted on it and parked on grass.	World Knowledge	Fine-grained Detail		same
The Statue of Liberty with the Manhattan skyline in the background.	World Knowledge	Fine-grained Detail		same
a cream colored labradoodle next to a white cat with black-tipped ears	Animals	Fine-grained Detail		same
The Great Pyramid of Giza situated in front of Mount Everest	World Knowledge	Fine-grained Detail		same
A photo of a Ming Dynasty vase on a leather topped table.	World Knowledge	Fine-grained Detail		same
A table full of food. There is a plate of chicken rice, a bowl of bak chor mee, and a bowl of laksa.	Food & Beverage	Fine-grained Detail		ret
A map of the United States with a pin on San Francisco	World Knowledge	Fine-grained Detail		same
A map of the United States made out of sushi on the table.	World Knowledge	Fine-grained Detail		gen
a cute wooden owl statue holding a large globe of the Earth above its head	Animals	Fine-grained Detail		gen
a photograph of the mona lisa drinking coffee as she has her breakfast. her plate has an omelette and croissant.	People	Fine-grained Detail		same
the mona lisa wearing a cowboy hat and screaming a punk song into a microphone	People	Fine-grained Detail		ret
a young badger delicately sniffing a yellow rose, richly textured oil painting	Arts	Fine-grained Detail		gen
a photograph of a blue porsche 356 coming around a bend in the road	Vehicles	Fine-grained Detail		gen
fairy cottage with smoke coming up chimney and a squirrel looking from the window	Outdoor Scenes	Fine-grained Detail		gen
purple lego dollhouse with a pool and a swing	Artifacts	Fine-grained Detail		gen
black bearded dog with an injured leg wearing a cone	Animals	Fine-grained Detail		ret
brown white and black white guinea pigs eating parsley handed to them	Animals	Fine-grained Detail		gen
The Rosetta Stone lying on the ground, covered in snow.	World Knowledge	Fine-grained Detail		same
a high-quality photograph of an armadillo playing a bagpipe while standing on one leg	Animals	Fine-grained Detail		same
a white robot with a red mohawk painted as graffiti on a red brick wall	Artifacts	Fine-grained Detail		same
