Prompt	Category	Challenge	Note	Decisions
a shoe	Artifacts	Basic		same,ret,same,ret,gen
a plant	Produce & Plants	Basic		gen,gen,gen,gen,gen
a flower	Produce & Plants	Basic		same,gen,ret,ret,ret
a pair of headphones	Artifacts	Basic		same,ret,gen,gen,gen
a chemtrail	Outdoor Scenes	Basic		gen,ret,ret,ret,ret
a tennis court	Outdoor Scenes	Basic		gen,ret,ret,same,gen
a ceiling fan	Indoor Scenes	Basic		same,same,gen,gen,same
a fire hydrant	Artifacts	Basic		ret,same,same,ret,gen
a wooden post	Artifacts	Basic		same,gen,gen,gen,gen
a trash bin	Artifacts	Basic		ret,gen,gen,gen,gen
a piano	Artifacts	Basic		gen,same,ret,ret,gen
a musical note	Illustrations	Basic		gen,ret,ret,gen,same
a harp	Artifacts	Basic		same,ret,gen,gen,ret
a tuba	Artifacts	Basic		same,same,gen,ret,same
The Alamo	World Knowledge	Basic		gen,gen,ret,ret,same
a windmill	Outdoor Scenes	Basic		gen,gen,ret,ret,ret
the geyser Old Faithful	World Knowledge	Basic		ret,gen,ret,gen,same
a motorcycle	Vehicles	Basic		ret,gen,gen,ret,gen
a painting of black and white	Illustrations	Basic		ret,ret,ret,ret,ret
the Great Pyramid	World Knowledge	Basic		gen,same,ret,ret,gen
the Parthenon	World Knowledge	Basic		ret,ret,ret,ret,gen
the Millennium Wheel	World Knowledge	Basic		same,gen,ret,gen,ret
a marina	Outdoor Scenes	Basic		same,same,gen,same,same
a team	People	Basic		gen,gen,ret,ret,same
a child	People	Basic		gen,same,ret,gen,gen
a man	People	Basic		same,same,gen,ret,ret
a woman	People	Basic		gen,ret,ret,ret,same
a girl	People	Basic		same,ret,gen,same,ret
a person	People	Basic		gen,gen,ret,same,gen
a boy	People	Basic		ret,gen,same,gen,gen
a boy and a tiger	People	Basic		same,gen,ret,gen,ret
a family	People	Basic		gen,ret,gen,gen,ret
a father and a son	People	Basic		ret,same,ret,gen,gen
a portrait of an old man	People	Basic		ret,gen,ret,same,same
a portrait of young girl	People	Basic		same,gen,gen,ret,gen
a scientist	People	Basic		same,ret,ret,gen,ret
A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands next to a tall stack of books in a library.	Animals	Complex		ret,ret,ret,ret,ret
A solitary figure shrouded in mists peers up from the cobble stone street at the imposing and dark gothic buildings surrounding it. an old-fashioned lamp shines nearby. oil painting.	Arts	Complex		ret,gen,same,same,gen
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump and holding a beer on dark stage.	Animals	Complex		gen,ret,gen,gen,ret
Horses pulling a carriage on the moon's surface, with the Statue of Liberty and Great Pyramid in the background. The Planet Earth can be seen in the sky.	World Knowledge	Complex		ret,gen,ret,gen,gen
A robot painted as graffiti on a brick wall. The words "Fly an airplane" are written on the wall. A sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.	Outdoor Scenes	Complex		ret,same,ret,gen,gen
A warrior wombat holding a sword and shield in a fighting stance. The wombat stands in front of the Arc de Triomphe on a day shrouded mist with the sun high in the sky.	World Knowledge	Complex		ret,ret,gen,gen,ret
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like dogs. All of the dogs are wearing blue turtlenecks.	Illustrations	Complex		gen,gen,gen,gen,ret
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like macaroons. All of the macaroons are wearing cowboy hats.	Illustrations	Complex		same,same,gen,same,ret
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.	Illustrations	Complex		ret,same,gen,gen,ret
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pandas. All of the pandas are wearing colorful sunglasses.	Illustrations	Complex		ret,ret,ret,ret,same
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pigs. All of the pigs are wearing crowns.	Illustrations	Complex		ret,same,ret,gen,ret
A richly textured oil painting of a young badger delicately sniffing a yellow rose next to a tree trunk. A small waterfall can be seen in the background.	Arts	Complex		gen,ret,ret,ret,ret
A portrait of a metal statue of a pharaoh wearing steampunk glasses and a leather jacket over a white t-shirt that has a drawing of a space shuttle on it.	World Knowledge	Complex		gen,gen,same,gen,gen
A photograph of the inside of a subway train. There are frogs sitting on the seats. One of them is reading a newspaper. The window shows the river in the background.	Vehicles	Complex		gen,ret,same,ret,gen
A photograph of the inside of a subway train. There are lobsters sitting on the seats. One of them is reading a newspaper. The window shows the ocean in the background.	Vehicles	Complex		ret,same,ret,gen,ret
A photograph of the inside of a subway train. There are raccoons sitting on the seats. One of them is reading a newspaper. The window shows the city in the background.	Vehicles	Complex		ret,gen,ret,ret,ret
A photograph of the inside of a subway train. There are red pandas sitting on the seats. One of them is reading a newspaper. The window shows the jungle in the background.	Vehicles	Complex		ret,ret,ret,ret,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of abstract cubism.	Arts	Complex		ret,ret,ret,ret,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Egyptian tomp hieroglyphics.	Arts	Complex		gen,same,gen,gen,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Hokusai.	Arts	Complex		gen,ret,gen,gen,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Madhubani art.	Arts	Complex		ret,gen,ret,same,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pixel art.	Arts	Complex		ret,ret,same,gen,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pointilism.	Arts	Complex		ret,ret,ret,gen,same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Rembrandt.	Arts	Complex		ret,same,ret,ret,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of traditional Chinese painting.	Arts	Complex		ret,gen,ret,ret,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.	Arts	Complex		gen,ret,gen,gen,gen
A raccoon wearing formal clothes, wearing a top hat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.	Arts	Complex		same,gen,gen,same,same
a statue of Abraham Lincoln wearing an opaque and shiny astronaut's helmet. The statue sits on the moon, with the planet Earth in the sky.	World Knowledge	Complex		ret,ret,gen,ret,ret
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.	World Knowledge	Complex		ret,gen,ret,gen,same
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. A shiny VW van with a cityscape painted on it and parked on grass.	World Knowledge	Complex		gen,gen,gen,ret,ret
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. The sloth stands a few feet in front of a shiny VW van. The van has a cityscape painted on it and parked on grass.	World Knowledge	Complex		ret,ret,same,same,ret
A DSLR photo of a shiny VW van that has a cityscape painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.	World Knowledge	Complex		gen,ret,same,ret,gen
a poodle wearing a baseball cap holding a dictionary in hand and writing bonez on a chalkboard	Animals	Complex		ret,gen,gen,gen,ret
a portrait of a statue of anubis with a crown and wearing a yellow t-shirt that has a space shuttle drawn on it	World Knowledge	Complex		gen,gen,gen,gen,gen
an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape. a table on the left, with a golden watch swarmed by ants. a strange fleshy creature in the center of the painting	Arts	Complex	Description of The Persistence of Memory	gen,same,ret,ret,ret
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. A full moon over the city of Los Angeles is in the background at night.	World Knowledge	Complex		gen,gen,ret,gen,ret
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.	World Knowledge	Complex		ret,ret,ret,ret,gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket, flying over the city of Mars. 	World Knowledge	Complex		ret,ret,gen,gen,gen
A photo of the Space Shuttle Endeavor painted yellow and flying over the Earth. The continent of South America is visible.	World Knowledge	Complex		ret,ret,ret,same,gen
A close-up photo of a wombat wearing a red backpack and raising both arms in the air. Mount Rushmore is in the background.	World Knowledge	Complex		gen,gen,ret,ret,gen
A penguin wearing aviator goggles and flying confidently next to a bemused eagle. 	Animals	Complex		ret,gen,gen,gen,gen
A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.	Animals	Complex		ret,gen,ret,gen,gen
A wall in a royal castle. There are two paintings on the wall. The one on the left a detailed oil painting of the royal raccoon king. The one on the right a detailed oil painting of the royal raccoon queen. A cute dog looking at the two paintings, holding a sign saying 'plz conserve'	Indoor Scenes	Complex		ret,ret,gen,ret,ret
A single beam of light enter the room from the ceiling. The beam of light is illuminating an easel. On the easel there is a Rembrandt painting of a raccoon	Indoor Scenes	Complex		ret,ret,ret,ret,same
The Millennium Wheel next to the Statue of Liberty. The Sagrada Familia church is also visible.	World Knowledge	Complex		ret,ret,ret,gen,same
A train ride in the monsoon rain in Kerala. With a Koala bear wearing a hat looking out of the window. There is a lot of coconut trees out of the window.	World Knowledge	Complex		gen,gen,gen,same,ret
A photograph of a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket.	World Knowledge	Complex		gen,gen,ret,same,ret
An oil painting of two rabbits in the style of American Gothic, wearing the same clothes as in the original.	Arts	Complex		ret,gen,gen,gen,ret
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting	Animals	Complex		ret,same,same,gen,same
A wombat sits in a yellow beach chair, while sipping a martini that is on his laptop keyboard. The wombat is wearing a white panama hat and a floral Hawaiian shirt. Out-of-focus palm trees in the background.	Animals	Complex		gen,gen,gen,ret,same
A high-contrast photo of a panda riding a horse. The panda is wearing a wizard hat and is reading a book. The horse is standing on a street against a gray concrete wall. Colorful flowers and the word "PEACE" are painted on the wall. Green grass grows from cracks in the street.	Animals	Complex		gen,ret,gen,gen,ret
The buildings of downtown Manhattan situated at below Mount Everest. The Great Pyramid is in the foreground.	World Knowledge	Complex		ret,ret,gen,gen,ret
Anime illustration of the Great Pyramid sitting next to the Parthenon under a blue night sky of roiling energy, exploding yellow stars, and chromatic blue swirls	World Knowledge	Complex		gen,same,gen,same,gen
An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu	World Knowledge	Complex		gen,gen,gen,gen,ret
A close-up high-contrast photo of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blue	World Knowledge	Complex		ret,same,ret,gen,same
the Sydney Opera House with the Eiffel tower sitting on the right, and Mount Everest rising above	World Knowledge	Complex		same,same,ret,ret,ret
Greek statue of a man comforting a cat. The cat has a big head. The man looks angry.	People	Complex		ret,ret,ret,ret,gen
a robot painted as graffiti on a brick wall. a sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.	Outdoor Scenes	Complex		same,same,ret,ret,same
a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket. dslr photograph.	People	Complex		ret,ret,gen,ret,gen
a real flamingo reading a large open book. a big stack of books is piled up next to it. dslr photograph.	Animals	Complex		same,ret,gen,ret,ret
A photo of a hamburger fighting a hot dog in a boxing ring. The hot dog is tired and up against the ropes.	Food & Beverage	Complex		ret,gen,same,same,gen
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting.	Animals	Complex		ret,ret,gen,gen,gen
A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table	Indoor Scenes	Complex		gen,ret,ret,gen,same
Photograph of a wall along a city street with a watercolor mural of foxes in a jazz band.	Outdoor Scenes	Complex		same,ret,ret,gen,ret
A high resolution photo of a donkey in a clown costume giving a lecture at the front of a lecture hall. The blackboard has mathematical equations on it. There are many students in the lecture hall.	Indoor Scenes	Complex		same,ret,gen,same,ret
A black dog sitting on a wooden chair. A white cat with black ears is standing up with its paws on the chair.	Animals	Complex		same,gen,gen,same,same
a Saint Bernard standing up with its paws in the air. A young girl is seated on the dog's shoulders.	People	Complex		gen,gen,gen,same,ret
a photograph of a squirrel holding an arrow above its head and holding a longbow in its left hand	Animals	Complex		ret,same,gen,same,same
An empty fireplace with a television above it. The TV shows a lion hugging a giraffe.	Indoor Scenes	Complex		ret,gen,gen,ret,same
an invisible man wearing horn-rimmed glasses and a pearl bead necklase while looking at his phone	People	Complex		gen,gen,gen,gen,gen
a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 	Vehicles	Complex		ret,ret,gen,ret,ret
