Prompt	Category	Challenge	Note	Decisions
a boat	Vehicles	Basic		ret,ret,same,same,ret
a fox	Animals	Basic		same,gen,gen,gen,gen
a red cube	Illustrations	Basic		gen,gen,gen,same,same
a panda	Animals	Basic		ret,gen,same,ret,gen
a space elevator	Artifacts	Basic	GLIDE	gen,same,same,ret,same
a city	Outdoor Scenes	Basic		same,gen,same,ret,gen
a fog	Outdoor Scenes	Basic		same,gen,gen,same,ret
a clock	Artifacts	Basic		ret,same,ret,same,same
a phone	Artifacts	Basic		same,same,same,same,same
food	Food & Beverage	Basic		gen,same,gen,gen,gen
a store front	Outdoor Scenes	Basic		gen,ret,gen,gen,gen
an armchair	Artifacts	Basic		same,gen,ret,same,same
a teapot	Artifacts	Basic		ret,gen,same,ret,gen
an illustration of a teapot	Artifacts	Basic	DALL-E	ret,ret,ret,ret,same
a tiger	Animals	Basic		same,same,ret,gen,same
a bench	Artifacts	Basic		gen,gen,same,gen,ret
an orange	Produce & Plants	Basic		gen,same,same,ret,ret
a laptop	Artifacts	Basic		same,ret,gen,same,ret
an owl	Animals	Basic		ret,same,ret,same,ret
a train	Vehicles	Basic		gen,ret,gen,gen,gen
a cow	Animals	Basic		gen,ret,ret,same,same
a submarine	Vehicles	Basic		gen,gen,gen,gen,gen
a whale	Animals	Basic		gen,gen,gen,gen,ret
a t-shirt	Artifacts	Basic		gen,gen,ret,gen,ret
a bowl	Artifacts	Basic		gen,same,gen,gen,gen
a flag	Artifacts	Basic		ret,ret,ret,ret,ret
a cat	Animals	Basic		gen,same,gen,same,same
a towel	Artifacts	Basic		gen,gen,gen,ret,ret
a wall	Artifacts	Basic		same,same,gen,ret,same
a car	Vehicles	Basic		same,gen,gen,gen,ret
a giraffe	Animals	Basic		same,gen,ret,ret,ret
an eagle	Animals	Basic		ret,ret,same,same,ret
a kangaroo	Animals	Basic		same,same,same,ret,gen
a canal	Outdoor Scenes	Basic		same,same,ret,ret,same
the grand canyon	World Knowledge	Basic		gen,gen,same,same,same
lily pads	Produce & Plants	Basic		same,gen,gen,same,same
a street	Outdoor Scenes	Basic		same,ret,ret,gen,ret
a house	Outdoor Scenes	Basic		gen,same,gen,gen,gen
a fish	Animals	Basic		same,same,gen,ret,ret
a city intersection	Outdoor Scenes	Basic		gen,ret,ret,gen,same
a circle	Illustrations	Basic		gen,same,gen,gen,ret
a red circle	Illustrations	Basic		same,ret,gen,ret,gen
a box	Illustrations	Basic		ret,gen,same,same,ret
a yellow box	Illustrations	Basic		gen,same,gen,same,gen
a red box	Illustrations	Basic		gen,gen,gen,gen,ret
a sphere	Illustrations	Basic		ret,ret,gen,ret,ret
a red sphere	Illustrations	Basic		gen,ret,ret,gen,ret
a large blue box	Illustrations	Basic		same,ret,gen,ret,ret
a blue metallic sphere	Illustrations	Basic		gen,gen,gen,gen,gen
a horse	Animals	Basic		gen,same,ret,gen,same
a pumpkin	Produce & Plants	Basic		same,ret,ret,same,ret
a sword	Artifacts	Basic		same,gen,same,gen,gen
a statue	Artifacts	Basic		ret,gen,same,same,gen
a logo	Illustrations	Basic		gen,ret,ret,ret,ret
a circular logo	Illustrations	Basic		gen,gen,ret,ret,same
a coffee mug	Artifacts	Basic		gen,same,same,gen,ret
a pig	Animals	Basic		ret,ret,gen,ret,ret
a squirrel	Animals	Basic		same,same,gen,ret,same
a hammer	Artifacts	Basic		ret,ret,gen,ret,ret
a screwdriver	Artifacts	Basic		ret,ret,ret,ret,gen
a handsaw	Artifacts	Basic		ret,same,same,ret,ret
a power drill	Artifacts	Basic		same,same,same,same,same
a cocktail	Food & Beverage	Basic		gen,gen,gen,gen,gen
a margarita	Food & Beverage	Basic		gen,ret,ret,ret,gen
an avocado	Produce & Plants	Basic		same,gen,gen,ret,same
a kitchen	Indoor Scenes	Basic		same,gen,ret,same,gen
an iPhone case	Artifacts	Basic		same,ret,ret,gen,ret
a coffee maker	Artifacts	Basic		gen,same,gen,ret,same
a banana	Produce & Plants	Basic		same,same,ret,same,same
a violin	Artifacts	Basic		same,same,gen,gen,ret
a room	Indoor Scenes	Basic		gen,same,same,same,gen
a mountain	Outdoor Scenes	Basic		ret,same,same,ret,gen
a bird	Animals	Basic		ret,gen,ret,same,same
a TV	Artifacts	Basic		gen,ret,same,ret,ret
a Christmas tree	Artifacts	Basic		gen,gen,gen,ret,gen
The Statue of Liberty	World Knowledge	Basic		same,same,ret,gen,gen
the Eiffel Tower	World Knowledge	Basic		gen,ret,ret,gen,gen
a zebra	Animals	Basic		same,same,ret,gen,gen
the city of London	World Knowledge	Basic		same,same,same,ret,gen
a koi fish	Animals	Basic		gen,same,ret,ret,gen
a pineapple	Produce & Plants	Basic		gen,gen,gen,same,gen
a toaster	Artifacts	Basic		ret,gen,ret,same,ret
a sign	Artifacts	Basic		gen,same,ret,ret,ret
a red lego block	Artifacts	Basic		gen,same,ret,ret,same
teacup	Artifacts	Basic		ret,gen,gen,ret,gen
chair	Artifacts	Basic		gen,ret,gen,same,same
waterfall	Outdoor Scenes	Basic		gen,same,ret,ret,gen
a pirate ship	Vehicles	Basic		gen,same,gen,same,ret
a dragon	Animals	Basic		gen,same,same,same,gen
a present	Artifacts	Basic		same,ret,gen,same,gen
a bottle	Artifacts	Basic		same,gen,ret,ret,same
a book cover	Illustrations	Basic		ret,gen,gen,gen,gen
a sweatshirt	Artifacts	Basic		gen,ret,ret,ret,gen
matching socks	Artifacts	Basic		same,ret,ret,ret,ret
cash	Artifacts	Basic		gen,gen,gen,same,gen
a wood cabin	Indoor Scenes	Basic		same,same,same,ret,same
a clock tower	Artifacts	Basic		gen,same,gen,gen,gen
a chimpanzee	Animals	Basic		gen,gen,same,ret,ret
a hat	Artifacts	Basic		gen,same,gen,gen,gen
sneakers	Artifacts	Basic		same,same,gen,same,gen
a roast turkey	Food & Beverage	Basic		same,gen,ret,ret,same
a turkey	Animals	Basic		same,ret,ret,gen,ret
a plate	Artifacts	Basic		ret,gen,ret,gen,gen
a ladder	Artifacts	Basic		same,gen,gen,gen,gen
a Tyrannosaurus Rex	Animals	Basic		same,same,gen,gen,gen
a Stegasaurus	Animals	Basic		same,same,same,same,same
a Triceratops	Animals	Basic		gen,ret,gen,ret,gen
a Styracosaurus	Animals	Basic		same,gen,gen,ret,gen
a Diplodocus	Animals	Basic		gen,gen,same,gen,same
a yellow sticky note	Artifacts	Basic		same,gen,gen,gen,same
a ball	Artifacts	Basic		ret,gen,ret,ret,ret
red balls	Artifacts	Basic		same,ret,gen,gen,ret
an ostrich	Animals	Basic		gen,gen,ret,same,ret
a stone path	Outdoor Scenes	Basic		same,ret,gen,same,ret
a wooden deck	Outdoor Scenes	Basic		same,same,ret,ret,same
an F1 race car	Vehicles	Basic		same,ret,gen,gen,same
a taxi	Vehicles	Basic		same,same,same,ret,gen
a road	Outdoor Scenes	Basic		gen,ret,same,gen,same
a volcano	Outdoor Scenes	Basic		same,gen,gen,ret,ret
a large open book	Artifacts	Basic		ret,same,ret,same,ret
a living room	Indoor Scenes	Basic		ret,same,ret,gen,ret
an elephant	Animals	Basic		same,same,same,gen,ret
a tree	Produce & Plants	Basic		gen,same,ret,same,same
a dolphin	Animals	Basic		gen,same,same,ret,gen
a rowboat	Vehicles	Basic		gen,ret,gen,gen,same
a crown	Artifacts	Basic		same,gen,gen,gen,gen
a pick-up truck	Vehicles	Basic		gen,gen,ret,gen,same
a key	Artifacts	Basic		ret,ret,gen,ret,ret
a goat	Animals	Basic		same,same,gen,same,same
a chest	Artifacts	Basic		gen,gen,ret,same,ret
a coffee table	Artifacts	Basic		gen,ret,same,ret,gen
toy cars	Artifacts	Basic		ret,ret,ret,same,ret
a bookshelf	Artifacts	Basic		gen,gen,gen,ret,ret
the moon	Outdoor Scenes	Basic		gen,gen,gen,same,ret
the Earth	Outdoor Scenes	Basic		same,ret,same,gen,ret
the International Space Station	World Knowledge	Basic		same,ret,gen,same,gen
the planet Jupiter	Outdoor Scenes	Basic		gen,same,gen,gen,same
a tornado	Outdoor Scenes	Basic		gen,ret,gen,ret,same
a tidal wave	Outdoor Scenes	Basic		ret,ret,ret,ret,ret
a laptop screen	Artifacts	Basic		ret,ret,gen,gen,gen
an airplane	Vehicles	Basic		gen,same,ret,gen,same
a butterfly	Animals	Basic		same,same,ret,gen,same
a lizard	Animals	Basic		same,gen,gen,ret,ret
a turtle	Animals	Basic		gen,gen,ret,gen,gen
an octopus	Animals	Basic		ret,ret,same,ret,same
a book	Artifacts	Basic		ret,gen,same,gen,ret
a moose	Animals	Basic		same,same,same,same,ret
a kachina doll	World Knowledge	Basic		gen,gen,same,ret,gen
a doorknocker	Artifacts	Basic		gen,gen,ret,gen,same
a rabbit	Animals	Basic		gen,same,same,same,same
orange juice	Food & Beverage	Basic		ret,same,ret,gen,same
a green pepper	Food & Beverage	Basic		same,same,ret,gen,same
beer	Food & Beverage	Basic		gen,same,same,gen,ret
Times Square	World Knowledge	Basic		gen,ret,same,same,gen
the Great Wall	World Knowledge	Basic		gen,same,same,ret,ret
the Kremlin	World Knowledge	Basic		gen,ret,same,same,same
a pickup truck	Vehicles	Basic		same,gen,ret,gen,ret
a shoe	Artifacts	Basic		gen,ret,same,ret,same
a plant	Produce & Plants	Basic		same,same,gen,ret,ret
a flower	Produce & Plants	Basic		same,gen,gen,ret,ret
a pair of headphones	Artifacts	Basic		ret,ret,gen,gen,gen
a chemtrail	Outdoor Scenes	Basic		gen,ret,ret,ret,ret
a tennis court	Outdoor Scenes	Basic		ret,gen,ret,gen,gen
a ceiling fan	Indoor Scenes	Basic		same,same,ret,same,same
a fire hydrant	Artifacts	Basic		gen,same,gen,ret,gen
a wooden post	Artifacts	Basic		gen,gen,gen,ret,gen
a trash bin	Artifacts	Basic		gen,gen,gen,gen,gen
a piano	Artifacts	Basic		gen,same,gen,same,gen
a musical note	Illustrations	Basic		gen,gen,ret,same,gen
a harp	Artifacts	Basic		gen,gen,same,gen,ret
a tuba	Artifacts	Basic		gen,gen,gen,gen,same
The Alamo	World Knowledge	Basic		same,gen,ret,gen,same
a windmill	Outdoor Scenes	Basic		ret,same,gen,ret,gen
the geyser Old Faithful	World Knowledge	Basic		gen,ret,gen,gen,same
a motorcycle	Vehicles	Basic		gen,gen,same,gen,ret
a painting of black and white	Illustrations	Basic		gen,gen,ret,ret,ret
the Great Pyramid	World Knowledge	Basic		gen,same,ret,gen,ret
the Parthenon	World Knowledge	Basic		same,same,same,same,same
the Millennium Wheel	World Knowledge	Basic		same,same,ret,gen,same
a marina	Outdoor Scenes	Basic		same,same,ret,same,gen
a team	People	Basic		same,gen,gen,gen,gen
a child	People	Basic		ret,same,same,gen,ret
a man	People	Basic		gen,same,gen,ret,gen
a woman	People	Basic		ret,gen,same,gen,same
a girl	People	Basic		same,gen,ret,same,same
a person	People	Basic		gen,gen,gen,same,same
a boy	People	Basic		ret,gen,ret,gen,ret
a boy and a tiger	People	Basic		same,ret,ret,gen,same
a family	People	Basic		gen,gen,gen,ret,ret
a father and a son	People	Basic		same,same,ret,gen,ret
a portrait of an old man	People	Basic		gen,ret,ret,same,same
a portrait of young girl	People	Basic		same,same,gen,ret,gen
a scientist	People	Basic		ret,ret,gen,gen,gen
A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands next to a tall stack of books in a library.	Animals	Complex		gen,gen,gen,gen,gen
A solitary figure shrouded in mists peers up from the cobble stone street at the imposing and dark gothic buildings surrounding it. an old-fashioned lamp shines nearby. oil painting.	Arts	Complex		ret,ret,same,same,ret
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump and holding a beer on dark stage.	Animals	Complex		same,same,ret,ret,gen
Horses pulling a carriage on the moon's surface, with the Statue of Liberty and Great Pyramid in the background. The Planet Earth can be seen in the sky.	World Knowledge	Complex		gen,gen,ret,ret,gen
A robot painted as graffiti on a brick wall. The words "Fly an airplane" are written on the wall. A sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.	Outdoor Scenes	Complex		ret,same,ret,gen,ret
A warrior wombat holding a sword and shield in a fighting stance. The wombat stands in front of the Arc de Triomphe on a day shrouded mist with the sun high in the sky.	World Knowledge	Complex		gen,ret,gen,gen,gen
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like dogs. All of the dogs are wearing blue turtlenecks.	Illustrations	Complex		ret,gen,ret,gen,ret
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like macaroons. All of the macaroons are wearing cowboy hats.	Illustrations	Complex		gen,gen,gen,ret,gen
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.	Illustrations	Complex		ret,same,gen,ret,gen
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pandas. All of the pandas are wearing colorful sunglasses.	Illustrations	Complex		ret,gen,ret,ret,gen
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pigs. All of the pigs are wearing crowns.	Illustrations	Complex		ret,ret,gen,gen,same
A richly textured oil painting of a young badger delicately sniffing a yellow rose next to a tree trunk. A small waterfall can be seen in the background.	Arts	Complex		gen,ret,gen,gen,gen
A portrait of a metal statue of a pharaoh wearing steampunk glasses and a leather jacket over a white t-shirt that has a drawing of a space shuttle on it.	World Knowledge	Complex		gen,gen,same,ret,gen
A photograph of the inside of a subway train. There are frogs sitting on the seats. One of them is reading a newspaper. The window shows the river in the background.	Vehicles	Complex		ret,same,gen,ret,ret
A photograph of the inside of a subway train. There are lobsters sitting on the seats. One of them is reading a newspaper. The window shows the ocean in the background.	Vehicles	Complex		ret,same,same,gen,ret
A photograph of the inside of a subway train. There are raccoons sitting on the seats. One of them is reading a newspaper. The window shows the city in the background.	Vehicles	Complex		ret,gen,gen,gen,ret
A photograph of the inside of a subway train. There are red pandas sitting on the seats. One of them is reading a newspaper. The window shows the jungle in the background.	Vehicles	Complex		ret,gen,gen,gen,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of abstract cubism.	Arts	Complex		gen,gen,gen,gen,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Egyptian tomp hieroglyphics.	Arts	Complex		ret,gen,ret,ret,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Hokusai.	Arts	Complex		ret,gen,gen,gen,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Madhubani art.	Arts	Complex		gen,gen,ret,gen,ret
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pixel art.	Arts	Complex		gen,gen,gen,gen,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pointilism.	Arts	Complex		gen,gen,same,ret,same
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Rembrandt.	Arts	Complex		gen,gen,gen,gen,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of traditional Chinese painting.	Arts	Complex		gen,gen,same,ret,gen
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.	Arts	Complex		gen,gen,gen,ret,gen
A raccoon wearing formal clothes, wearing a top hat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.	Arts	Complex		gen,gen,ret,gen,gen
a statue of Abraham Lincoln wearing an opaque and shiny astronaut's helmet. The statue sits on the moon, with the planet Earth in the sky.	World Knowledge	Complex		gen,ret,ret,ret,gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.	World Knowledge	Complex		gen,gen,gen,ret,gen
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. A shiny VW van with a cityscape painted on it and parked on grass.	World Knowledge	Complex		gen,gen,gen,gen,gen
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. The sloth stands a few feet in front of a shiny VW van. The van has a cityscape painted on it and parked on grass.	World Knowledge	Complex		ret,same,gen,gen,same
A DSLR photo of a shiny VW van that has a cityscape painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.	World Knowledge	Complex		ret,same,same,gen,ret
a poodle wearing a baseball cap holding a dictionary in hand and writing bonez on a chalkboard	Animals	Complex		gen,gen,ret,gen,gen
a portrait of a statue of anubis with a crown and wearing a yellow t-shirt that has a space shuttle drawn on it	World Knowledge	Complex		gen,gen,gen,gen,ret
an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape. a table on the left, with a golden watch swarmed by ants. a strange fleshy creature in the center of the painting	Arts	Complex	Description of The Persistence of Memory	gen,same,gen,gen,gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. A full moon over the city of Los Angeles is in the background at night.	World Knowledge	Complex		gen,gen,gen,gen,ret
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.	World Knowledge	Complex		ret,gen,gen,gen,gen
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket, flying over the city of Mars. 	World Knowledge	Complex		gen,gen,gen,gen,same
A photo of the Space Shuttle Endeavor painted yellow and flying over the Earth. The continent of South America is visible.	World Knowledge	Complex		gen,gen,gen,gen,same
A close-up photo of a wombat wearing a red backpack and raising both arms in the air. Mount Rushmore is in the background.	World Knowledge	Complex		same,gen,same,gen,gen
A penguin wearing aviator goggles and flying confidently next to a bemused eagle. 	Animals	Complex		gen,ret,ret,gen,gen
A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.	Animals	Complex		gen,gen,gen,gen,gen
A wall in a royal castle. There are two paintings on the wall. The one on the left a detailed oil painting of the royal raccoon king. The one on the right a detailed oil painting of the royal raccoon queen. A cute dog looking at the two paintings, holding a sign saying 'plz conserve'	Indoor Scenes	Complex		ret,ret,gen,gen,ret
A single beam of light enter the room from the ceiling. The beam of light is illuminating an easel. On the easel there is a Rembrandt painting of a raccoon	Indoor Scenes	Complex		gen,ret,gen,gen,ret
The Millennium Wheel next to the Statue of Liberty. The Sagrada Familia church is also visible.	World Knowledge	Complex		same,gen,gen,gen,gen
A train ride in the monsoon rain in Kerala. With a Koala bear wearing a hat looking out of the window. There is a lot of coconut trees out of the window.	World Knowledge	Complex		ret,ret,gen,gen,gen
A photograph of a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket.	World Knowledge	Complex		ret,gen,gen,same,gen
An oil painting of two rabbits in the style of American Gothic, wearing the same clothes as in the original.	Arts	Complex		gen,ret,gen,ret,ret
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting	Animals	Complex		gen,gen,gen,gen,gen
A wombat sits in a yellow beach chair, while sipping a martini that is on his laptop keyboard. The wombat is wearing a white panama hat and a floral Hawaiian shirt. Out-of-focus palm trees in the background.	Animals	Complex		gen,gen,same,gen,same
A high-contrast photo of a panda riding a horse. The panda is wearing a wizard hat and is reading a book. The horse is standing on a street against a gray concrete wall. Colorful flowers and the word "PEACE" are painted on the wall. Green grass grows from cracks in the street.	Animals	Complex		gen,ret,gen,ret,ret
The buildings of downtown Manhattan situated at below Mount Everest. The Great Pyramid is in the foreground.	World Knowledge	Complex		gen,gen,gen,same,ret
Anime illustration of the Great Pyramid sitting next to the Parthenon under a blue night sky of roiling energy, exploding yellow stars, and chromatic blue swirls	World Knowledge	Complex		gen,same,gen,same,gen
An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu	World Knowledge	Complex		gen,ret,ret,same,gen
A close-up high-contrast photo of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blue	World Knowledge	Complex		gen,ret,ret,ret,same
the Sydney Opera House with the Eiffel tower sitting on the right, and Mount Everest rising above	World Knowledge	Complex		same,same,same,ret,gen
Greek statue of a man comforting a cat. The cat has a big head. The man looks angry.	People	Complex		ret,same,gen,ret,ret
a robot painted as graffiti on a brick wall. a sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.	Outdoor Scenes	Complex		ret,ret,ret,ret,gen
a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket. dslr photograph.	People	Complex		gen,gen,ret,gen,gen
a real flamingo reading a large open book. a big stack of books is piled up next to it. dslr photograph.	Animals	Complex		gen,gen,ret,gen,same
A photo of a hamburger fighting a hot dog in a boxing ring. The hot dog is tired and up against the ropes.	Food & Beverage	Complex		gen,gen,gen,same,gen
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting.	Animals	Complex		gen,gen,ret,gen,gen
A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table	Indoor Scenes	Complex		ret,ret,gen,gen,same
Photograph of a wall along a city street with a watercolor mural of foxes in a jazz band.	Outdoor Scenes	Complex		ret,gen,gen,gen,ret
A high resolution photo of a donkey in a clown costume giving a lecture at the front of a lecture hall. The blackboard has mathematical equations on it. There are many students in the lecture hall.	Indoor Scenes	Complex		same,gen,ret,gen,gen
A black dog sitting on a wooden chair. A white cat with black ears is standing up with its paws on the chair.	Animals	Complex		same,gen,gen,ret,same
a Saint Bernard standing up with its paws in the air. A young girl is seated on the dog's shoulders.	People	Complex		gen,gen,ret,gen,ret
a photograph of a squirrel holding an arrow above its head and holding a longbow in its left hand	Animals	Complex		gen,gen,gen,gen,gen
An empty fireplace with a television above it. The TV shows a lion hugging a giraffe.	Indoor Scenes	Complex		ret,ret,gen,ret,gen
an invisible man wearing horn-rimmed glasses and a pearl bead necklase while looking at his phone	People	Complex		ret,ret,same,ret,same
a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 	Vehicles	Complex		ret,gen,ret,gen,ret
a white rabbit in blue jogging clothes doubled over in pain while a turtle wearing a red tank top dashes confidently through the finish line	Animals	Complex		gen,gen,same,ret,ret
a hot air balloon with a yin-yang symbol, with the moon visible in the daytime sky	Vehicles	Complex		gen,ret,same,ret,gen
